City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,westport,41.1415,-73.3579,1.02,72,0,2.06,US,1701927765
1,mejit,10.2753,170.8646,27.56,83,76,10.92,MH,1701927766
2,whitehorse,60.7161,-135.0538,-1.57,80,100,6.69,CA,1701927767
3,puerto natales,-51.7236,-72.4875,3.64,94,2,2.02,CL,1701927768
4,toledo,39.8333,-4.0,6.84,81,99,1.6,ES,1701927769
5,hermanus,-34.4187,19.2345,26.45,37,2,1.33,ZA,1701927771
6,piti village,13.4626,144.6933,31.49,72,40,5.66,GU,1701927773
7,fada,9.5667,8.3,19.89,20,21,2.79,NG,1701927774
8,bilibino,68.0546,166.4372,-32.5,100,100,1.5,RU,1701927775
9,edinburgh of the seven seas,-37.0676,-12.3116,13.99,75,11,6.04,SH,1701927776
10,st. john's,47.5649,-52.7093,-3.95,90,20,2.24,CA,1701927747
11,grytviken,-54.2811,-36.5092,-1.53,92,100,12.67,GS,1701927778
12,slave lake,55.2834,-114.769,-6.01,100,100,1.54,CA,1701927493
13,loreto,22.2667,-101.9667,12.37,79,100,3.19,MX,1701927700
14,iqaluit,63.7506,-68.5145,-13.15,78,0,1.03,CA,1701927781
15,port-aux-francais,-49.35,70.2167,4.72,80,100,7.72,TF,1701927782
16,larache,35.1932,-6.1557,17.31,87,93,3.06,MA,1701927783
17,bengkulu,-3.8004,102.2655,27.65,82,89,3.72,ID,1701927784
18,bredasdorp,-34.5322,20.0403,20.6,70,24,3.41,ZA,1701927785
19,tommot,58.9564,126.2925,-33.6,96,99,1.28,RU,1701927786
20,tubarjal,30.4999,38.216,15.01,67,50,2.21,SA,1701927787
21,adamstown,-25.066,-130.1015,22.68,81,37,6.34,PN,1701927789
22,margaret river,-33.95,115.0667,19.28,62,100,10.81,AU,1701927790
23,yuzhno-kurilsk,44.0306,145.8556,7.43,84,100,12.83,RU,1701927791
24,placido de castro,-10.3353,-67.1856,22.72,100,99,0.71,BR,1701927792
25,kodiak,57.79,-152.4072,2.73,52,0,7.2,US,1701927793
26,waitangi,-43.9535,-176.5597,14.9,94,100,4.47,NZ,1701927794
27,madang,-5.2246,145.7966,29.16,75,96,2.27,PG,1701927795
28,albany,42.6001,-73.9662,-2.4,78,32,2.94,US,1701927797
29,constantia,44.1833,28.65,2.38,91,100,6.31,RO,1701927798
30,saint david's,12.0333,-61.6667,26.69,89,20,6.69,GD,1701927799
31,nepanagar,21.4667,76.4,24.11,69,72,4.02,IN,1701927800
32,ghat,24.9647,10.1728,15.47,21,3,2.31,LY,1701927801
33,bubaque,11.2833,-15.8333,27.32,67,7,2.51,GW,1701927802
34,ust-nera,64.5667,143.2,-45.22,92,73,0.78,RU,1701927803
35,qaqortoq,60.7167,-46.0333,-1.35,69,100,2.89,GL,1701927804
36,tura,25.5198,90.2201,19.09,83,100,0.5,IN,1701927805
37,east london,-33.0153,27.9116,20.52,83,0,3.6,ZA,1701927806
38,sur,22.5667,59.5289,25.03,41,0,1.57,OM,1701927808
39,avarua,-21.2078,-159.775,25.03,83,75,6.69,CK,1701927809
40,kuanda,56.3161,116.0806,-27.96,91,70,0.57,RU,1701927810
41,arraial do cabo,-22.9661,-42.0278,22.15,97,48,2.66,BR,1701927811
42,anahuac,27.2333,-100.15,18.83,63,100,7.21,MX,1701927812
43,yellowknife,62.456,-114.3525,-7.71,93,100,2.57,CA,1701927813
44,opuwo,-18.0607,13.84,22.35,66,94,1.1,NA,1701927814
45,college,64.8569,-147.8028,-14.82,86,100,1.54,US,1701927815
46,cabedelo,-6.9811,-34.8339,25.37,85,61,1.67,BR,1701927816
47,ushuaia,-54.8,-68.3,6.81,93,75,10.8,AR,1701927802
48,jamestown,42.097,-79.2353,-0.16,97,100,3.09,US,1701927587
49,mananjary,-21.2167,48.3333,25.52,77,99,1.44,MG,1701927819
50,alofi,-19.0595,-169.9187,27.94,78,29,4.12,NU,1701927820
51,nikol'sk,53.7189,46.0712,-19.79,100,65,1.39,RU,1701927821
52,kingston,17.997,-76.7936,27.53,84,20,1.54,JM,1701927444
53,ribeira grande,38.5167,-28.7,15.43,81,67,1.79,PT,1701927823
54,makhambet,47.6667,51.5833,-2.36,56,100,7.49,KZ,1701927824
55,doganyol,38.3118,39.0382,6.81,92,100,0.89,TR,1701927825
56,port blair,11.6667,92.75,30.02,79,40,2.06,IN,1701927826
